,Unnamed: 0,frame_number,x_angle,y_angle,z_angle,product 0,product 1,product 2,product 3,product 4,product 5,product 6,seconds
117,117,805,-10.287163,-22.581543,3.246254,37399.98560601749,43401.59554884982,64161.07393047714,46882.952764450754,66685.90116260365,70090.27237173216,72544.08321235843,26.833333333333332
118,118,806,-10.28434,-21.467712,2.712662,37386.79625079278,43372.36631720327,64219.151748074015,47955.62729714744,67676.30140843535,71702.64613204206,73917.40622672366,26.866666666666667
119,119,807,-10.476349,-21.184357,3.039139,37400.19579098782,43538.697410952176,64498.08037795844,48321.4527066544,68138.34792150845,72172.30157029135,74422.33063196957,26.9
120,120,808,-10.909363,-20.767853,3.140533,37441.8145201969,43925.799298242615,65117.95828992347,48935.800576356574,68982.03583277544,72911.70242941711,75286.71169680853,26.933333333333334
121,121,809,-10.565994,-22.208000000000002,2.989594,37386.10301270527,43613.086205905514,64541.81500383336,47361.062993980704,67310.98686053106,70713.16583728207,73224.1491107453,26.966666666666665
122,122,810,-10.052559,-22.204826,2.971756,37386.90273317618,43191.74327583973,63867.773143921026,47138.24716700192,66768.7177896405,70565.23567620893,72821.17016878625,27.0
123,123,811,-10.120415,-21.883759,2.5398560000000003,37381.411138902,43238.2002745663,63973.75362682317,47477.028813678495,67127.00801116112,71050.12795304808,73271.44679165028,27.033333333333335
124,124,812,-10.150375,-22.175011,2.477554,37384.556450705226,43269.986416468615,63997.32878901402,47208.903806885784,66898.67546791662,70636.87837985907,72935.03766903031,27.066666666666666
125,125,813,-9.633453,-22.161301,3.018784,37400.23149836737,42855.049009200935,63321.94281626469,47004.622972727615,66365.84564539244,70509.06431803739,72546.72628374991,27.1
126,126,814,-9.530296,-21.845596,2.864319,37402.516963911585,42765.196789716174,63203.37272409157,47268.79525345628,66541.05678710657,70938.75384977963,72858.41775614237,27.133333333333333
127,127,815,-9.561371,-22.176353,2.521851,37404.30110226426,42798.81779572159,63227.32000557434,46960.79856480344,66276.78035873803,70467.23261072661,72472.0103786386,27.166666666666668
128,128,816,-9.91478,-22.707092000000006,2.837509,37413.85868743035,43109.33428104099,63671.460760728936,46604.0617384679,66181.2824685408,69800.18019548,72095.59716102597,27.2
129,129,817,-9.99086,-22.128304,3.064789,37386.461399525135,43139.168785721966,63790.54004705563,47185.34654365619,66771.55134960664,70658.16169349638,72867.08134920159,27.233333333333334
130,130,818,-9.976524,-22.086861,3.360565,37386.04304305727,43126.28746520986,63773.80084019251,47219.1420761972,66793.35167389341,70714.06244898944,72907.03244960397,27.266666666666666
131,131,819,-9.956749,-21.897751,3.080704,37384.81525523146,43105.83216061611,63758.18638225291,47393.75145752772,66941.77975086714,70982.60475643372,73125.67769658695,27.3
132,132,820,-9.780228,-21.470146,2.997818,37397.41277424621,42962.86508137954,63555.95838745128,47739.98050383313,67143.77724529947,71554.58821296632,73520.54722209352,27.333333333333332
133,133,821,-9.79538,-21.981827,2.635376,37390.407660413795,42978.08336854983,63542.162982138274,47244.60918429816,66696.4709526041,70814.72125222272,72895.26245562242,27.366666666666667
134,134,822,-10.557861,-22.125473,2.965775,37384.040384987966,43603.648565597054,64535.31481847832,47436.315035251006,67375.38548016148,70829.9766922202,73319.16683552883,27.4
135,135,823,-10.09906,-20.751808,3.071243,37433.52609903392,43248.55686950777,64044.85193140314,48595.56312115832,68142.00093915722,72694.83699613178,74670.70087525321,27.433333333333334
136,136,824,-10.956932,-20.77787,2.788536,37442.92517002109,43965.854151144056,65180.14115982365,48947.48618723521,69023.28250056601,72911.7144347558,75311.89651815142,27.466666666666665
137,137,825,-9.810532,-22.513977,2.917877,37405.793186325966,43013.02247417345,63540.19886995573,46741.65120676941,66240.07359287568,70048.82506266558,72250.35573321128,27.5
